Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
303953,1853958,Validate that POST  CNP /payments API is 200 OK,,,,,,,,,,,,<p>Get BearerToken key</p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/payments/authenticate"">https://stage-platform.wellfit.com/payments/authenticate</a></p><p><br /><br />{</p><p>   ""username"": ""WellfitUnifiedPaymentsAPI"",</p><p>   ""password"": ""Testing123!!W3llf1t1!""</p><p>}</p>",,Case (text),,
303954,1853959,Validate that CNP Payment can be successfully sent to the system,,,,,,,,,,,,,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute  with any amount and submerchant<br /><a href=""https://stage-platform.wellfit.com/payments/credit-card/process-card"">https://stage-platform.wellfit.com/payments/credit-card/process-card</a></p><p>  ""amount"": <i>{{$randomPrice}}</i>,</p><p>  ""cvv"": ""349"",</p><p>  ""expirationDate"": ""0327"",</p><p>  ""network"": ""VI"",</p><p>  ""orderId"": ""Postman-<i>{{$randomPrice}}</i>"",</p><p>  ""payFacFee"": 0.00,</p><p>//  ""subMerchantId"": ""01334270"",</p><p>//""subMerchantId"": ""a36c0000-3a32-000d-5a1d-08dd1961183d"",</p><p> //""subMerchantId"": ""1d550000-3a34-000d-889b-08d43c1753a8"", //QA -11</p><p>//""subMerchantId"": ""105ABFBF-EE77-48AD-BF89-2C8B9665DE16"", // QA -468</p><p>""subMerchantId"": ""4431318D-E50D-4A3B-AAB7-FB65B489F5AF"", // Stage -Park West - 101</p><p>//""subMerchantId"": ""159F2670-1B71-4EF6-AD30-0EBF0991E2CC"", // Stage -Redhil</p><p>//""subMerchantId"": ""3C8C0000-FF98-0003-AA5B-08D6B3AFD5A4"", // Stage -Monet</p><p>""token"": ""BB2D0000-480B-0022-FF16-08DD680F655F"", //token guid</p><p> //""token"": ""113300101080009"", //processor token</p><p>  ""zipCode"": ""33333"",</p><p>  ""metadata"": ""{\""test\"":\""12218\""}""</p><p>}</p>",,Case (text),,
303955,1853960,Validate that CNP transaction is successfully stored as 'Approved' in Payments  DB,,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = NULL<br />FundingInstructions = NULL<br />Status = Approved<br /><br /> </p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /><br /><br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
303958,1853963,"Validate that  CNP transaction gets ""SettlementDate""value filled via query through Payments  DB Table",,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br /><br /><br /> </p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> <br /> </p><p>UPDATE Payments.Payments SET SettlementDate = '2026-05-21' where transactionId = '83999403816107069'</p>
<p>Execute to see change reflected<br /><br />SELECT * From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p>",,Case (text),,
303956,1853961,Validate that POST treasury/create-funding-batch API can be successfully executed 202 OK,,,,,,,,,,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/treasury/create-funding-batch"">https://stage-platform.wellfit.com/treasury/create-funding-batch</a><br />{}</p>",,Case (text),,
303957,1853962,"Validate that  ""FundingInstructions"" and ""SettlementDate"" are not NULL for CNP transaction in Payments  DB Table after creating FundingBatch via API",,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br />FundingInstructions = Contains FundingID<br />Status = Approved<br /><br /> </p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
303960,1853964,"Validate that Payments.FundingInstructions Table contains proper co-relation of  ""FIPC-PayFac"", ""FISC-NetSettlement"" and ""Id"" against  ""fundingInstructionId"". ""PayFacFee"" and ""Amount"" values from  Platform Payments.Payments DB",,,,,,,,,,,,<p>Values match ACH transaction an funding instructions batch</p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following queryes updating transactionId value properly<br /> </p><p>SELECT [id], [fundingInstructionId], [payFacFee], [amount] From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p><p>SELECT TOP 3 * from payments.fundingInstructions order by timestamp desc</p>
<p>Observe values matching</p>",,Case (text),,
303961,1853965,Validate that POST treasury/send-funding-batch API can be successfully executed 202 OK,,,,,,,,,,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,<p>Execute <br />POST https://stage-platform.wellfit.com/treasury/send-funding-batch<br />{}</p>,,Case (text),,
303962,1853966,"Validate that Payments.FundingBatches Table contains proper ""BatchFileName"" value after sending funding batch via API",,,,,,,,,,,,<p>Get Batch File Name</p>,CNP Payment - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query<br /> </p><p>SELECT * FROM Payments.FundingBatches order by requestSentTimestamp desc </p>
<p>Observe most recent value according to date when you send funding batch</p>",,Case (text),,
