Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
304015,1853969,Validate that POST  CNP /payments API is 200 OK,,,,,,,,,,,,<p>Get BearerToken key</p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/payments/authenticate"">https://stage-platform.wellfit.com/payments/authenticate</a></p><p><br /><br />{</p><p>   ""username"": ""WellfitUnifiedPaymentsAPI"",</p><p>   ""password"": ""Testing123!!W3llf1t1!""</p><p>}</p>",,Case (text),,
304016,1853970,Validate that CNP partial refund  can be successfully sent to the system,,,,,,,,,,,,,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute  with any amount and submerchant<br /><a href=""https://stage-platform.wellfit.com/payments/refund-transaction"">https://stage-platform.wellfit.com/payments/refund-transaction</a></p><p>{</p><p>  ""amount"": ""{{less than total transactionAmount}}""}}</p><p>  ""orderId"": ""Postman-Refund<i>{{random-order-id}}</i>"",</p><p>  ""originalTransactionId"": ""{{originalCNPTransactionId}}""</p><p>}</p>",,Case (text),,
304017,1853971,Validate that CNP partial refund is successfully stored as 'Approved' in Payments  DB,,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = NULL<br />FundingInstructions = NULL<br />Status = Approved<br /><br /> </p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /><br /><br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
304020,1853974,"Validate that  CNP partial refund gets ""SettlementDate""value filled via query through Payments  DB Table",,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br /><br /><br /> </p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> <br /> </p><p>UPDATE Payments.Payments SET SettlementDate = '2026-05-21' where transactionId = '83999403816107069'</p>
<p>Execute to see change reflected<br /><br />SELECT * From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p>",,Case (text),,
304018,1853972,Validate that POST treasury/create-funding-batch API can be successfully executed 202 OK,,,,,,,,,,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/treasury/create-funding-batch"">https://stage-platform.wellfit.com/treasury/create-funding-batch</a><br />{}</p>",,Case (text),,
304019,1853973,"Validate that  ""FundingInstructions"" and ""SettlementDate"" are not NULL for CNP partial refund in Payments  DB Table after creating FundingBatch via API",,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br />FundingInstructions = Contains FundingID<br />Status = Approved<br /><br /> </p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
304021,1853975,"Validate that Payments.FundingInstructions Table contains proper co-relation of  ""FIPC-PayFac"", ""FISC-NetSettlement"" and ""Id"" against  ""fundingInstructionId"". ""PayFacFee"" and ""Amount"" values from  Platform Payments.Payments DB",,,,,,,,,,,,<p>Values match ACH transaction an funding instructions batch</p><p> </p><p>We should see FISD for refund in [Payments].[FundingInstructions] table when run treasury (FISD - Funding Instruction Submerchant Debit)</p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following queryes updating transactionId value properly<br /> </p><p>SELECT [id], [fundingInstructionId], [payFacFee], [amount] From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p><p>SELECT TOP 3 * from payments.fundingInstructions order by timestamp desc</p>
<p>Observe values matching</p>",,Case (text),,
304022,1853976,Validate that POST treasury/send-funding-batch API can be successfully executed 202 OK,,,,,,,,,,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,<p>Execute <br />POST https://stage-platform.wellfit.com/treasury/send-funding-batch<br />{}</p>,,Case (text),,
304023,1853977,"Validate that Payments.FundingBatches Table contains proper ""BatchFileName"" value after sending funding batch via API",,,,,,,,,,,,<p>Get Batch File Name</p>,CNP Refund - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query<br /> </p><p>SELECT * FROM Payments.FundingBatches order by requestSentTimestamp desc </p>
<p>Observe most recent value according to date when you send funding batch</p>",,Case (text),,
