Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Description__2,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
67588,1853891,"Verify that, authenticate API req res is successful",,,,,,,,,<p>Send a request to the authentication API with valid credentials.<br /> </p>,,,,<p>Successful response (HTTP 200/201) and retrieve the access token.</p>,PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67589,1853892,"Verify that, create-wallet API req res retrieves a successful response",,,,,,,,,<p>Send a request to the wallet creation API.</p>,,,,"<p>Validate the response for expected fields (wallet token ID, creation timestamp).</p>",PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67590,1853893,"Verify that, a new card token can be added to a Wallet via API",,,,,,,,,<p>Send a request to the tokenization API with valid card details.<br /><br />Validate that the response contains a valid token and expected fields.<br /> </p>,,,,<p>Verify that the API response confirms successful addition (HTTP 200/201)<br /> </p>,PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67591,1853894,Verify that executing a query from the Wallet DB will retrieve the Wallet and Card token logs,,,,,,,,,,,,,"<p>Query the wallet database to confirm a new entry with the correct user ID, wallet ID, and token details.</p>",PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67592,1853895,"Verify that, card number, expiration date, CVV, zip/postal code,  input validations errors are returned via API",,,,,,,,,"<p>Send requests with various invalid card numbers (incomplete, non-numeric, too short/long)</p>",,,,<p>Validate that the API returns appropriate error messages and status codes (HTTP 400)</p>,PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67593,1853896,"Verify that, create-card token API returns a confirmation response after successfully adding a new card",,,,,,,,,,,,,"<p>Ensure the response includes a success message, card token, wallet ID, and timestamps</p><p>Check the Wallet DB to confirm the card/token entry exists</p>",PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67594,1853897,Verify that the card token generation  is logged in the DB,,,,,,,,,,,,,"<p>Query the wallet database to confirm a new entry with the correct user ID, wallet ID, and token details.</p>",PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
67595,1853898,Validate Wallet Tokenize Transaction - TokenId Stored in Wallet DB,,,,,,,,,<ul><li>A valid request to add a token to the wallet is made with the necessary authentication and data.</li><li>Wallet DB is accessible for querying and contains the required schema for storing tokenized data.</li></ul>,,,,<ul><li>The resultant <code>tokenId</code> is correctly generated and stored in the Wallet DB.</li><li>The <code>tokenId</code> can be queried and found in the Wallet DB.</li><li><strong>API response</strong>: HTTP 200 OK (or equivalent success response indicating successful tokenization and storage).</li></ul>,PAY-1128 MyWallet: Adding New Cards,,,PAY-1765,Normal,Active,Untested,,,,,,Case (text),,
