Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Description__2,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
67603,1853899,"Verify that, delete-token API for credit cards request response is successful",,,,,,,,,<p>Validate the API response for a successful deletion confirmation</p>,,,,"<p>Send a request to the ""Delete Token"" API with the corresponding token.</p>",PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67604,1853900,"Verify that, a card token cannot be deleted without authentication",,,,,,,,,"<p>Attempt to call the ""Delete Token"" API without an access token.</p>",,,,<p>Ensure the API returns an unauthorized (HTTP 401) response</p>,PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67605,1853901,"Verify that, attempting to delete a token linked to an active subscription retrieves an error message",,,,,,,,,<p>Attempt to delete a token linked to an active subscription.</p>,,,,<p>Validate that the API returns an error message (HTTP 400/409) with an appropriate reason.</p>,PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67606,1853902,"Verify that, attempting to delete a card token linked to an active payment plans retrieves an error message",,,,,,,,,<p>Attempt to delete a token linked to an active payment plans</p>,,,,<p>Validate that the API returns an error message (HTTP 400/409) with an appropriate reason.</p>,PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67607,1853903,"Verify that, a clear error message is displayed when card token cannot be deleted from the Wallet",,,,,,,,,"<p>Attempt to delete a non-existent token, a token linked to a payments plan and an active subscription</p>",,,,"<p>Validate that the API returns a proper error response (e.g., HTTP 404)</p>",PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67608,1853904,"Verify that, all types of cards can be deleted via API",,,,,,,,,"<p>Test with different card types Visa, MasterCard, Amex, Discover</p>",,,,<p>Ensure all can be successfully deleted unless restricted.</p>,PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
67609,1853905,"Verify that, once a deleted card token is removed, the details are also removed from the Wallet DB",,,,,,,,,,,,,<p>Query the wallet database to confirm that the token no longer exists after deletion.</p>,PAY-1127 MyWallet: Removing Stored Cards,,,"PAY-1127,PAY-1765",Normal,Active,Untested,,,,,,Case (text),,
