Case ID,Test ID,Test,Result ID,Assigned to,Comment,Created at,Created by,Deleted,Deleted at,Deleted by,Description,Description__2,Elapsed,Estimate,Expected,Folder,Forecast,Issues,Issues (case),Priority,State,Status,Steps (Expected),Steps (Note),Steps (Status),Steps (Step),Tags,Template,Updated at,Updated by
304065,1853987,Validate that POST  CP /payments API is 200 OK,,,,,,,,,,,,,<p>Get BearerToken key</p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/payments/authenticate"">https://stage-platform.wellfit.com/payments/authenticate</a></p><p><br /><br />{</p><p>   ""username"": ""WellfitUnifiedPaymentsAPI"",</p><p>   ""password"": ""Testing123!!W3llf1t1!""</p><p>}</p>",,Case (text),,
304066,1853988,Validate that CP partial refund  can be successfully sent to the system,,,,,,,,,,,,,,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute  with any amount and submerchant<br /><a href=""https://sbox-platform.wellfit.com/payments/credit-card-present/charge-card"">https://sbox-platform.wellfit.com/payments/credit-card-present/charge-card</a></p><p><br />{</p><p>//  ""subMerchantId"": ""01334270"",</p><p> //""subMerchantId"": ""A36C0000-3A32-000D-5A1D-08DD1961183D"",</p><p> //""subMerchantId"": ""A372295A-7AEB-4184-B4E9-16AB615237C4"", //Stage -468</p><p> //""subMerchantId"": ""105ABFBF-EE77-48AD-BF89-2C8B9665DE16"", //QA -468</p><p>  //""subMerchantId"": ""1D550000-3A34-000D-889B-08D43C1753A8"", //QA -11</p><p>   //""subMerchantId"": ""159F2670-1B71-4EF6-AD30-0EBF0991E2CC"", //stage -11</p><p>  //""subMerchantId"": ""15C89B01-D2A4-48F8-9C2B-9BA1F2094076"", //Stage - Disabled Merchant</p><p>  ""subMerchantId"": ""A372295A-7AEB-4184-B4E9-16AB615237C4"", //Pre Prod -468</p><p>  ""amount"": 80,</p><p> ""laneId"": 1,//Ingenico</p><p> // ""laneId"": 30,//EX8000  </p><p>  ""orderId"": ""Radorder11185""</p><p> // ""metadata"": ""{\“clientData\“:\“Test Data\“}""</p><p>}</p>",,Case (text),,
304067,1853989,Validate that CP partial refund is successfully stored as 'Approved' in Payments  DB,,,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = NULL<br />FundingInstructions = NULL<br />Status = Approved<br /><br /> </p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /><br /><br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
304070,1853992,"Validate that  CP partial refund gets ""SettlementDate""value filled via query through Payments  DB Table",,,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br /><br /><br /> </p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> <br /> </p><p>UPDATE Payments.Payments SET SettlementDate = '2026-05-21' where transactionId = '83999403816107069'</p><p>Execute to see change reflected<br /><br />SELECT * From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p>",,Case (text),,
304068,1853990,Validate that POST treasury/create-funding-batch API can be successfully executed 202 OK,,,,,,,,,"<p>Preconditions:<br />ACH Transaction already has a ""SettlementDate"" manually updated via query</p>",,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute <br />POST <a href=""https://stage-platform.wellfit.com/treasury/create-funding-batch"">https://stage-platform.wellfit.com/treasury/create-funding-batch</a><br />{}</p>",,Case (text),,
304069,1853991,"Validate that  ""FundingInstructions"" and ""SettlementDate"" are not NULL for CP partial refund in Payments  DB Table after creating FundingBatch via API",,,,,,,,,,,,,<p>Platform DB<br /><br />SettlementDate = ExpectedDate <br />FundingInstructions = Contains FundingID<br />Status = Approved<br /><br /> </p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following query in Plafrorm DB, changing the transactionId properly<br /> </p><p>SELECT * From payments.payments where transactionId = '83999403816107069'</p>",,Case (text),,
304071,1853993,"Validate that Payments.FundingInstructions Table contains proper co-relation of  ""FIPC-PayFac"", ""FISC-NetSettlement"" and ""Id"" against  ""fundingInstructionId"". ""PayFacFee"" and ""Amount"" values from  Platform Payments.Payments DB",,,,,,,,,,,,,<p>Values match ACH transaction an funding instructions batch</p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,"<p>Execute the following queryes updating transactionId value properly<br /> </p><p>SELECT [id], [fundingInstructionId], [payFacFee], [amount] From payments.payments where transactionId = '83999403816107069'</p><p><br /> </p><p>SELECT TOP 3 * from payments.fundingInstructions order by timestamp desc</p><p>Observe values matching</p>",,Case (text),,
304072,1853994,Validate that POST treasury/send-funding-batch API can be successfully executed 202 OK,,,,,,,,,"<p>Preconditions:<br />ACH transaction already status 5 Funded, with SettlementDate and FundingInstructionsId </p>",,,,"<p>202 Accepted Status<br /><br />{</p><p>    ""correlationId"": ""{{correlationId}}"",</p><p>    ""stage"": ""Create""</p><p>}</p>",CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,<p>Execute <br />POST https://stage-platform.wellfit.com/treasury/send-funding-batch<br />{}</p>,,Case (text),,
304073,1853995,"Validate that Payments.FundingBatches Table contains proper ""BatchFileName"" value after sending funding batch via API",,,,,,,,,,,,,<p>Get Batch File Name</p>,CP Refund  - Settlement and Funding - Treasury,,,,Normal,Active,Untested,,,,<p>Execute the following query<br /> </p><p>SELECT * FROM Payments.FundingBatches order by requestSentTimestamp desc </p><p>Observe most recent value according to date when you send funding batch</p>,,Case (text),,
